idx	kutu_w	font	kapasite	EN
181	726.6	37	39	Clamp all points to min/max values.
182	726.6	37	39	Smooth tangents of selected point.
183	726.6	37	39	Add point at scrub bar location.
184	726.6	37	39	Clamp point to min/max values.
185	726.6	37	39	Apply preset curve pattern.
186	726.6	37	39	Move row up/down the list.
187	473.8	70	13	Track Editor - Toolbar
188	726.6	37	39	Delete selected point.
189	726.6	37	39	Select all points.
190	303.7	40	15	Adjust play speed
191	412.03	40	20	Point Actions
192	712.98	40	35	Row Actions
193	290.46	37	15	Action sets let you assign action or axis groups in multiple sets - which can be toggled on and off in flight.
194	461.44	37	24	The in-flight App lets you see and change which set is active.
195	461.44	37	24	You add a control to a set just like how action groups work
196	557.98	37	30	Check to block the vessel controls when this set is active
197	512.3	37	27	Check to override the default set when this set is active.
198	528.4	37	28	Enable them here at the bottom of the action group window.
199	502.3	37	27	Rename the action set to remember its function
200	461.44	37	24	Add a part control to it.
201	310.5	37	16	Expand/Collapse
202	461.4	37	24	Select a Set.
203	424.36	70	12	Action Sets
204	1572.81	40	78	Those magnificent kerbals in their flying machines, and other aircraft information.
205	248.23	70	7	Aircraft
206	911.55	40	45	While kerbals spend a lot of time reaching out \ninto space, getting around on Kerbin is another \nof their pastimes.
207	911.55	40	45	You'll hopefully learn some tricks in this section \nto go from this pile of parts to the below levels \nof awesome!
208	670.53	70	19	The Basics of Aircraft
209	1241.15	40	62	Designing a plane that will fly is all about balancing the four aero \nforces. In construction you can use the UI helpers to apply some\ncommon ideas to help you succeed.
210	1749.97	40	87	Of course, once you have a firm grasp of flight, imagination (and physics) are the only limits.
211	1117.55	40	55	Here are some basic themes that help build simple planes.
212	986.74	40	49	The center of lift should be near the center of mass.
213	751.9	40	37	Build your plane around a "center line."
214	803.4	40	40	Line up the CoT to push through the CoM.
215	800.31	70	22	It's All About the Balance
216	478.95	50	19	UI Helpers (in Editor)
217	466.59	40	23	Push Along the Center:
218	312.09	40	15	Center of Thrust
219	248.23	40	12	Center of Lift
220	286.34	40	14	Center of Mass
221	309	40	15	Use Symmetry:
222	299.73	40	14	CoM Near CoL:
223	1284.41	40	64	Here are some examples of planes that suffer from balance issues. \nHopefully you can learn a thing or two from our mistakes.
224	836.36	35	47	The thrust in this design is pushing the plane around \nthe CoM, not through it. This is a CoT Issue.
225	661.26	35	37	Here the center of lift is off the center-line.\nThis plane will roll left quite badly.
226	588.13	35	33	Lastly the CoL here is well behind the \nCoM, this plane will pitch down hard.
227	434.66	70	12	Balancing Act
228	1269.99	40	63	The CoL is found by adding the individual lift components from all \nparts of the craft. Lift is generated by wings, control surfaces and \neven some fuselage parts (via an effect called body lift).
229	1250.42	40	62	When designing an aircraft one of the key indicators is the center \nof lift (CoL). Its location is crucial to the balance of the plane.
230	1203.04	35	68	<i><color=#ef2929><i>Note:</i></color> In game you will only see the CoL marker in the construction interface.</i>
231	475.86	35	27	Control surface lift not shown,\nbut you should get the idea.
232	661.26	70	18	Where Lift Is Applied
233	141.11	50	5	Center\nof Lift
234	113.3	50	4	Wing\nLift
235	111.24	50	4	Body\nLift
236	1865.33	40	93	When building a vessel you will use a number of control parts, and there are two types of parts to \nconsider. Having one type and not the other will leave you floundering for control.
237	1027.94	40	51	These parts apply force to the vessel - via airflow over \nsurfaces, torque from gyroscopes, gimballed engine\nmovement and direct thrust from thrusters.
238	751.9	40	37	These parts allow you to input controls \nto the vessel.
239	706.58	70	20	Let's Get Some Control
240	134.93	35	7	Control\nSurfaces
241	163.77	35	9	Gimballed\nEngine
242	491.31	70	14	Control Sources
243	136.99	35	7	Reaction\nWheels
244	131.84	35	7	RCS\nThruster
245	390.37	70	11	Player Input
246	191.58	35	10	Probe Cores
247	129.78	35	7	Manned\nPods
248	1227.76	35	70	<i><color=#ef2929><i>Note:</i></color> You create flaps using ailerons and disabling the three control axis. You then       \n           deploy them using part actions or action groups.</i>
